CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
8043	8255	4	0.8368	-116.048
8629	11218	4	0.8873	0.000
7976	8091	4	0.9131	102.032
5774	6025	4	0.8437	-2.015
11235	11236	4	0.9256	-1.003
9326	13049	4	0.8077	-15.995
8567	12974	4	0.8348	0.000
5774	8070	4	0.8542	-2.016
8523	10659	4	0.8043	2.016
8523	8845	4	0.9093	0.000
7072	7498	4	0.834	18.011
8070	8157	4	0.8411	2.016
9463	13555	4	0.8116	30.977
6025	8070	4	0.9315	-0.000
7695	9247	4	0.9442	0.871
8043	9920	4	0.8014	436.139
7577	11238	4	0.8079	-18.010
9914	11238	4	0.8803	0.000
8070	9155	4	0.8384	0.000
6025	8157	4	0.8276	2.015
7923	8268	4	0.8483	0.000
9326	9912	4	0.8591	2.016
8335	10070	4	0.8531	0.000
6025	8586	4	0.8055	-15.995
7690	7922	4	0.8881	0.000
8691	11236	4	0.8741	0.000
9462	13555	4	0.8106	29.974
8091	9923	4	0.8683	-197.202
8002	8103	4	0.8402	-1.003
7980	8889	4	0.8222	-0.001
9917	9919	4	0.8385	-149.068
8250	9915	4	0.8011	36.021
9912	10662	4	0.8027	-1.003
9912	13798	4	0.8471	-2.016
7072	8335	4	0.8366	0.000
8523	13078	4	0.896	0.000
8903	11235	4	0.8537	0.000
8259	8324	4	0.8767	-18.010
7690	8324	4	0.8014	-17.007
5774	8883	4	0.8813	0.000
7922	8637	4	0.8009	1.003
8252	8889	4	0.842	-0.001
7072	9567	4	0.8047	-18.010
8010	8335	4	0.8856	-0.000
8080	8638	4	0.891	0.000
8689	10661	4	0.8024	-18.010
7959	7984	4	0.8537	-133.046
8523	9912	4	0.8378	2.016
6024	6025	4	0.8141	-18.010
7854	8888	4	0.8043	0.000
7168	8567	4	0.8086	1.979
8080	9247	4	0.9281	0.000
7946	7976	4	0.9301	31.013
8335	11238	4	0.8267	-18.010
6024	7197	4	0.8766	0.000
7690	9462	4	0.8248	-17.007
9913	13798	4	0.822	15.995
7690	8154	4	0.8658	0.000
7694	8080	4	0.9339	-0.000
9914	11235	4	0.8795	18.010
8043	8232	4	0.8187	-248.090
8523	9326	4	0.9548	0.000
8070	8883	4	0.8031	2.016
9919	9920	4	0.849	-1.003
7197	8970	4	0.9244	0.000
6024	8970	4	0.8766	0.000
8465	8523	4	0.8162	1.003
9247	13555	4	0.8391	29.974
8043	9919	4	0.8402	437.142
7959	7987	4	0.8767	-149.068
7825	7955	4	0.8141	-119.057
7923	8887	4	0.8159	0.000
8012	11238	4	0.8189	194.043
8845	13078	4	0.8255	0.000
8942	8970	4	0.8521	18.010
7197	9154	4	0.8387	0.000
8157	8865	4	0.8093	-1.003
7168	8080	4	0.9062	0.000
7498	8523	4	0.8477	-2.016
8903	10070	4	0.8107	0.000
7955	7960	4	0.8346	17.025
8268	8887	4	0.8205	0.000
7946	7987	4	0.8666	13.987
9914	9915	4	0.8184	-158.021
8692	9914	4	0.828	144.042
8010	9913	4	0.8983	0.000
8043	8106	4	0.8195	132.042
9914	10661	4	0.8209	18.010
9913	11235	4	0.871	0.000
7959	8091	4	0.8079	-30.010
13617	13798	4	0.8476	0.868
10066	11238	4	0.844	0.000
7836	7984	4	0.8864	161.049
5774	7197	4	0.8117	15.995
8259	9247	4	0.8428	-18.010
9917	11238	4	0.8043	194.043
8037	9923	4	0.8164	-83.170
5774	8942	4	0.8167	-2.016
8259	8638	4	0.8417	-18.010
8002	8104	4	0.8177	-158.021
7072	7577	4	0.8267	0.000
7911	8942	4	0.8077	-18.010
8043	8249	4	0.8807	30.010
7715	7922	4	0.815	-1.003
7959	7976	4	0.8719	-132.043
7715	8638	4	0.8004	-18.011
8002	8692	4	0.8154	-144.042
8106	8249	4	0.8545	-102.031
5764	8884	4	0.813	0.000
8942	9155	4	0.8736	0.000
7577	8523	4	0.833	15.995
7980	9919	4	0.86	-17.027
7959	7960	4	0.8582	-264.085
7185	8942	4	0.846	-0.000
9340	9997	4	0.8724	-1.012
8539	8883	4	0.8491	0.000
7836	7987	4	0.891	145.027
7694	9462	4	0.948	-0.000
8638	9462	4	0.9318	0.000
7980	9917	4	0.8197	132.041
7072	11848	4	0.8126	13.979
7946	9923	4	0.8537	-64.157
9913	11238	4	0.8314	-18.010
9443	11235	4	0.8556	18.011
7911	9155	4	0.8051	-18.010
8043	8091	4	0.8653	-146.057
7694	7715	4	0.8135	18.010
8691	11235	4	0.8391	1.003
8903	11236	4	0.8205	-1.003
8689	9912	4	0.9579	0.000
8250	8262	4	0.8018	29.974
7979	9923	4	0.8019	-241.227
8523	13798	4	0.8375	0.000
7695	13555	4	0.8296	30.845
9912	13549	4	0.8065	-2.016
4932	6777	4	0.8679	18.010
7976	7987	4	0.8935	-17.026
7577	8335	4	0.945	0.000
9912	11218	4	0.8461	-15.995
7695	8080	4	0.9242	0.871
7980	8880	4	0.8197	-149.070
7168	9247	4	0.9718	0.000
7987	8091	4	0.8174	119.058
11848	13555	4	0.8074	12.000
9326	13078	4	0.8649	0.000
9912	11226	4	0.951	0.000
8104	9917	4	0.8019	-36.021
8012	9914	4	0.8795	194.043
8335	13798	4	0.8221	15.995
8080	8259	4	0.8323	18.010
4931	8689	4	0.8208	15.995
7911	9154	4	0.851	0.000
7072	11236	4	0.8089	-1.003
4931	9912	4	0.8153	15.995
8324	9463	4	0.8878	-1.003
7690	9463	4	0.803	-18.010
8689	11235	4	0.857	-18.010
7960	7984	4	0.8666	131.039
8012	8104	4	0.8254	36.021
8091	8232	4	0.9134	-102.032
7955	7987	4	0.8309	132.041
10659	13078	4	0.815	-2.016
8080	9462	4	0.9181	0.000
8742	10885	4	0.8099	18.010
7984	7987	4	0.8659	-16.022
9443	9567	4	0.8561	-0.000
7825	8255	4	0.8258	162.052
7946	8091	4	0.8942	133.045
8232	8255	4	0.9659	132.042
9443	10661	4	0.8299	18.010
7168	9463	4	0.8876	-1.003
8104	9915	4	0.8659	-0.000
8689	11226	4	0.9721	0.000
4931	10659	4	0.8055	15.995
8335	8523	4	0.8365	15.995
7715	9462	4	0.8235	-18.011
7825	7946	4	0.8041	-1.002
7694	8324	4	0.9483	-0.000
8903	10661	4	0.8271	0.000
7185	9155	4	0.8447	0.000
7690	7715	4	0.8209	1.003
8638	9247	4	0.9125	0.000
8324	9462	4	0.9429	0.000
7836	7946	4	0.9232	131.040
4931	10885	4	0.8225	-2.016
11236	11238	4	0.8316	-17.007
11235	11238	4	0.8563	-18.010
8335	9326	4	0.8184	15.995
8335	8692	4	0.8557	-162.053
5774	8157	4	0.9129	0.000
7836	7960	4	0.9533	30.010
8259	8637	4	0.9367	0.000
4931	6778	4	0.8569	-18.010
8692	10661	4	0.8291	162.053
7922	8154	4	0.8273	0.000
13549	13798	4	0.864	0.000
8002	8012	4	0.8623	-194.043
8080	8324	4	0.9067	0.000
9913	10070	4	0.8285	0.000
8002	9443	4	0.8522	-0.000
8335	11236	4	0.8162	-1.003
7825	7984	4	0.8248	29.007
7980	9915	4	0.8218	168.063
7987	8037	4	0.8277	5.026
7959	9923	4	0.8097	-227.212
5774	8539	4	0.8062	0.000
10659	11226	4	0.9233	0.000
7976	9923	4	0.8437	-95.170
8012	8250	4	0.8288	0.000
8010	10885	4	0.8046	0.000
7694	8638	4	0.9195	-0.000
8037	8232	4	0.8336	12.000
9913	10661	4	0.8195	0.000
7959	8255	4	0.8655	-0.001
7825	7976	4	0.8483	30.010
9914	11236	4	0.8544	17.007
8704	11192	4	0.8708	0.000
7960	7976	4	0.9215	132.042
10662	11226	4	0.8356	1.003
8692	9913	4	0.8449	162.053
8249	9923	4	0.8432	-373.270
9912	13078	4	0.8031	-2.016
6025	8942	4	0.8918	-0.000
7577	8692	4	0.8302	-162.053
9912	10659	4	0.9181	0.000
7836	7976	4	0.9401	162.053
9247	9462	4	0.9471	0.000
9913	11236	4	0.8532	-1.003
9915	9919	4	0.8186	-185.090
7197	7911	4	0.9034	0.000
7984	8255	4	0.8821	133.046
7715	8324	4	0.8271	-18.011
9567	11238	4	0.8256	0.000
8255	8880	4	0.8131	421.147
7185	8070	4	0.8623	-0.000
10661	11235	4	0.9214	0.000
7577	9326	4	0.8063	15.995
7911	8970	4	0.9016	-0.000
8157	8883	4	0.9055	0.000
8689	11218	4	0.8136	-15.995
10885	13549	4	0.8371	15.995
7694	9247	4	0.9657	-0.000
8689	13798	4	0.8024	-2.016
7976	8255	4	0.9524	132.042
8970	9154	4	0.8646	0.000
7065	7922	4	0.8474	0.000
8012	9915	4	0.8803	36.021
7976	8232	4	0.978	0.000
7976	8249	4	0.8032	278.100
7168	8259	4	0.8137	18.010
7197	11235	4	0.8248	-2.016
7021	7498	4	0.8172	0.000
9997	13549	4	0.8196	2.015
7960	7987	4	0.9072	115.016
5774	8884	4	0.8156	-18.010
8255	9923	4	0.8349	-227.212
8012	10055	4	0.826	-18.030
7924	8262	4	0.8475	0.000
7946	8232	4	0.9334	31.013
6025	8883	4	0.8014	2.016
8091	8249	4	0.8099	176.068
7960	8232	4	0.9331	132.042
8103	11236	4	0.8377	18.010
8106	9923	4	0.8112	-475.301
7984	8091	4	0.842	103.036
9915	9917	4	0.832	-36.021
7168	9462	4	0.9178	0.000
10659	10662	4	0.8151	-1.003
8692	8903	4	0.8086	162.053
7577	8903	4	0.9077	0.000
11226	11235	4	0.8488	-18.010
7911	8070	4	0.8546	-18.011
8710	11192	4	0.8064	-17.007
7577	13078	4	0.8069	15.995
7715	8080	4	0.8065	-18.011
6024	9154	4	0.8649	0.000
